architecture,task_id,task_revision,model_id,axis_id,outcome,levels,auc,mean_drop,total_drop,largest_single_level_drop,cliff_ratio,cliff_classifier,cliff_at_0_50,cliff_at_0_75,bootstrap_samples,auc_ci_lower,auc_ci_upper,mean_drop_ci_lower,mean_drop_ci_upper,total_drop_ci_lower,total_drop_ci_upper,largest_single_level_drop_ci_lower,largest_single_level_drop_ci_upper,cliff_ratio_ci_lower,cliff_ratio_ci_upper
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,0.9833333333333334,-0.09999999999999998,-0.09999999999999998,0.0,0.0,no_material_net_drop,False,False,2000,0.9500000000000001,1.0,-0.30000000000000004,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,0.9833333333333334,-0.09999999999999998,-0.09999999999999998,0.0,0.0,no_material_net_drop,False,False,2000,0.9500000000000001,1.0,-0.30000000000000004,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,task_success,4,0.9833333333333334,-0.09999999999999998,-0.09999999999999998,0.0,0.0,no_material_net_drop,False,False,2000,0.9500000000000001,1.0,-0.30000000000000004,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,rendered-target,task_success,2,0.45,0.9,0.9,0.9,1.0,cliff,True,True,2000,0.35,0.5,0.7,1.0,0.7,1.0,0.7,1.0,1.0,1.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,read-known-value,2,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
