model,task_id,layout,metric,count,n,rate,low,high
foundry/gpt-5-mini,copy-known-value,dom-inline-bar,substring_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-gap-40px,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-gap-40px,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-gap-40px,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-two-spaces,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-two-spaces,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-two-spaces,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-opposite-corner,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-opposite-corner,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-opposite-corner,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-separate-line,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-separate-line,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-separate-line,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,dom-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-inline-bar,substring_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.4,copy-known-value,canvas-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-inline-gap-40px,exact_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,canvas-inline-gap-40px,substring_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.4,copy-known-value,canvas-inline-gap-40px,target_without_marker,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,canvas-inline-two-spaces,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-inline-two-spaces,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,copy-known-value,canvas-inline-two-spaces,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-opposite-corner,exact_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5.4,copy-known-value,canvas-opposite-corner,substring_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5.4,copy-known-value,canvas-opposite-corner,target_without_marker,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5.4,copy-known-value,canvas-separate-line,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-separate-line,substring_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,canvas-separate-line,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,dom-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,copy-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,canvas-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,canvas-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,canvas-inline-gap-40px,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-inline-gap-40px,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-inline-gap-40px,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-inline-two-spaces,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,canvas-inline-two-spaces,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-inline-two-spaces,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,canvas-opposite-corner,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-opposite-corner,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-opposite-corner,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-separate-line,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-separate-line,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,canvas-separate-line,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,dom-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-gap-40px,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-gap-40px,substring_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-gap-40px,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-two-spaces,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-two-spaces,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,canvas-inline-two-spaces,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,canvas-opposite-corner,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,canvas-opposite-corner,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,canvas-opposite-corner,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,canvas-separate-line,exact_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5.6-terra,copy-known-value,canvas-separate-line,substring_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,canvas-separate-line,target_without_marker,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5.6-terra,copy-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,dom-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-gap-40px,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-gap-40px,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-inline-gap-40px,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-two-spaces,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-inline-two-spaces,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-inline-two-spaces,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-opposite-corner,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-opposite-corner,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-opposite-corner,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,target_without_marker,0,10,0.0,0.0,0.2775327998628892
